noise_prob,msg_len,algorithm,error,error_corrected,error_detected,redundancy
0.005,87,0.005,False,False,False,7
0.005,111,0.005,False,False,False,7
0.005,79,0.005,False,False,False,7
0.005,176,0.005,False,False,False,8
0.005,168,0.005,False,False,False,8
0.005,136,0.005,True,True,True,8
0.005,71,0.005,True,False,True,7
0.005,111,0.005,True,True,True,7
0.005,71,0.005,True,True,True,7
0.005,95,0.005,False,False,False,7
0.005,144,0.005,False,False,False,8
0.005,152,0.005,True,True,True,8
0.005,144,0.005,False,False,False,8
0.005,321,0.005,True,True,True,9
0.005,216,0.005,True,True,True,8
0.005,144,0.005,False,False,False,8
0.005,62,0.005,False,False,False,7
0.005,38,0.005,False,False,False,6
0.005,54,0.005,True,True,True,6
0.005,71,0.005,True,True,True,7
0.005,95,0.005,False,False,False,7
0.005,95,0.005,False,False,False,7
0.005,38,0.005,False,False,False,6
0.005,71,0.005,False,False,False,7
0.005,62,0.005,False,False,False,7
0.005,87,0.005,False,False,False,7
0.005,79,0.005,False,False,False,7
0.005,79,0.005,False,False,False,7
0.005,208,0.005,False,False,False,8
0.005,144,0.005,False,False,False,8
0.005,38,0.005,True,True,True,6
0.005,29,0.005,False,False,False,6
0.005,38,0.005,False,False,False,6
0.005,38,0.005,False,False,False,6
0.005,54,0.005,False,False,False,6
0.005,38,0.005,False,False,False,6
0.005,54,0.005,False,False,False,6
0.005,79,0.005,True,True,True,7
0.005,62,0.005,False,False,False,7
0.005,46,0.005,False,False,False,6
0.005,62,0.005,False,False,False,7
0.005,87,0.005,False,False,False,7
0.005,136,0.005,True,True,True,8
0.005,79,0.005,True,False,True,7
0.005,119,0.005,True,True,True,7
0.005,136,0.005,True,True,True,8
0.01,136,0.01,True,True,True,8
0.01,79,0.01,False,False,False,7
0.01,144,0.01,False,False,False,8
0.01,136,0.01,True,True,True,8
0.01,216,0.01,True,True,True,8
0.01,136,0.01,True,True,True,8
0.01,136,0.01,True,False,True,8
0.01,79,0.01,False,False,False,7
0.01,144,0.01,False,False,False,8
0.01,103,0.01,True,True,True,7
0.01,216,0.01,True,True,True,8
0.01,111,0.01,True,True,True,7
0.01,208,0.01,True,True,True,8
0.01,273,0.01,True,True,True,9
0.01,54,0.01,False,False,False,6
0.01,95,0.01,False,False,False,7
0.01,38,0.01,True,True,True,6
0.01,160,0.01,False,False,False,8
0.01,136,0.01,True,True,True,8
0.01,79,0.01,False,False,False,7
0.01,144,0.01,True,True,True,8
0.01,103,0.01,False,False,False,7
0.03,136,0.03,True,True,True,8
0.03,79,0.03,True,True,True,7
0.03,144,0.03,True,True,True,8
0.03,136,0.03,True,False,True,8
0.03,79,0.03,True,True,True,7
0.03,136,0.03,True,True,True,8
0.03,136,0.03,True,True,True,8
0.03,79,0.03,True,True,True,7
0.03,144,0.03,True,True,True,8
0.03,136,0.03,True,False,True,8
0.03,79,0.03,True,True,True,7
0.03,103,0.03,True,True,True,7
0.03,136,0.03,True,True,True,8
0.03,136,0.03,True,True,True,8
0.03,79,0.03,False,False,False,7
0.03,144,0.03,True,True,True,8
0.03,103,0.03,True,True,True,7
0.03,216,0.03,True,True,True,8
0.03,111,0.03,True,True,True,7
0.03,136,0.03,True,True,True,8
0.03,79,0.03,True,True,True,7
0.03,119,0.03,True,True,True,7
0.03,103,0.03,True,True,True,7
0.03,216,0.03,True,True,True,8
0.03,111,0.03,True,True,True,7
0.03,208,0.03,True,False,True,8
0.03,273,0.03,True,True,True,9
0.03,54,0.03,True,True,True,6
0.03,95,0.03,True,True,True,7
0.03,95,0.03,True,True,True,7
0.03,38,0.03,True,True,True,6
0.03,95,0.03,True,True,True,7
0.03,95,0.03,True,True,True,7
0.03,38,0.03,True,True,True,6
0.03,54,0.03,True,False,True,6
0.03,119,0.03,True,True,True,7
0.03,127,0.03,True,True,True,8
0.05,136,0.05,True,True,True,8
0.05,79,0.05,True,True,True,7
0.05,144,0.05,True,True,True,8
0.05,103,0.05,True,True,True,7
0.05,216,0.05,True,True,True,8
0.05,111,0.05,True,True,True,7
0.05,208,0.05,True,True,True,8
0.05,273,0.05,True,True,True,9
0.05,54,0.05,True,True,True,6
0.05,95,0.05,True,True,True,7
0.05,29,0.05,False,False,False,6
0.05,95,0.05,True,True,True,7
0.05,95,0.05,True,True,True,7
0.05,38,0.05,True,True,True,6
0.05,54,0.05,True,True,True,6
0.05,119,0.05,True,True,True,7
0.05,127,0.05,True,True,True,8
0.05,136,0.05,True,True,True,8
0.05,79,0.05,True,False,True,7
0.05,144,0.05,True,True,True,8
0.05,119,0.05,True,False,True,7
0.05,216,0.05,True,False,True,8
0.05,111,0.05,True,True,True,7
0.05,208,0.05,True,True,True,8
0.05,273,0.05,True,True,True,9
0.05,54,0.05,True,True,True,6
0.05,95,0.05,True,False,True,7
0.05,29,0.05,True,True,True,6
0.05,95,0.05,True,False,True,7
0.05,95,0.05,True,True,True,7
0.05,38,0.05,False,False,False,6
0.05,54,0.05,True,False,True,6
0.05,119,0.05,True,True,True,7
0.05,127,0.05,True,True,True,8
0.1,152,0.1,True,True,True,8
